,name,nutri_fat,nutri_satuFat,nutri_carbohydrate,nutri_sugar,nutri_fiber,nutri_protein,nutri_salt,nutri_kcal
83,Lait de soja - Bon Déjeuner,3.0,2.0,11.0,,,3.0,,84.0
84,Lait de soja - Bon Déjeuner,1.12,,10.72,,,2.0,,60.0
85,Hot&Spicy Samosa - Haldiram,16.0,2.571,35.286,,2.143,5.143,,310.0
86,Tops Mango Pickle - 1 Kg,4.0,0.47,20.0,0.0,0.0,1.4,0.0,122.0
87,Nestle Resource High Protein - 1Kg,2.8,0.0,41.7,0.1,5.0,45.0,0.525,372.0
88,Women Horlicks - Horlics - 400g,3.0,0.0,68.2,0.0,0.0,15.0,0.0,359.0
89,Cabruary Bourn Vita - 1 Kg,1.8,0.9,85.2,32.0,3.6,7.0,0.0,393.0
90,Women Horlicks - Horlics - 400g,3.0,0.0,68.2,0.0,0.0,15.0,0.0,359.0
91,Veer - 4,,,,,,,0.0,
92,FULL 365 - 24,,,,,,,0.0,
93,Hing - Ramdev,4.46,0.82,75.61,,6.1,8.4,,376.0
94,Malabar parota - 10 Nos,7.02,,0.2,,,,0.0,
95,Sarson ka saag - Sohna,,,11.0,,7.0,3.0,,60.0
96,Oat Granola - Express FOODS,19.1,3.1,67.0,12.1,4.0,8.5,,476.0
97,Riz basmati - Alishaan,0.5,0.1,78.0,,1.5,8.0,,349.0
98,Bhindi - Ashoka,,,6.0,,,1.0,,35.0
99,Greek yogurt smoothie,1.5,0.9,12.2,12.1,,4.0,0.0,75.0
100,"High Calorie Gainer, Chocolate Flavour - Muscleblaze",2.2,1.5,75.0,,1.4,16.1,,375.0
101,Figaro - 200ml,,,,,,,100000000000000.0,
102,Srikhand,5.0,2.9,42.0,41.0,,5.3,,234.0
103,Kinder CereAlé - Kinder,23.1,13.0,64.7,27.1,3.3,6.6,0.238,500.0
104,Pickel,11.3,3.19,21.3,3.26,,3.39,,200.0
105,Oil - 1l,0.1,8.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Lassi,2.7,,20.7,16.0,,2.4,,117.0
107,closeup toothpaste - 150g,,,,,,,0.0,
108,Apple juice,0.0,0.0,12.0,0.0,,0.0,0.0,54.0
109,Aajhree - 1,7.0,,,0.0,,6.0,0.0,400.0
110,chyawanprabha - patanjali - 750 g,0.4,0.28,7.8,3.6,5.6,0.11,0.0,35.0
111,Dana Whole Milk,3.6,2.2,4.8,0.0,,3.2,0.118,64.0
112,Pista Chikki - Shri Mahalaxmi - 450 g,29.19,9.65,51.84,,9.874,,,533.0
113,doctor,,,,,,,0.0,
114,Toasted miller muesli,23.82,18.36,63.3,20.9,,9.78,,474.0
115,Organic Spicy Avocado Hummus - Trader Joe's,4.0,0.5,0.1,0.0,,2.0,1.15,8.0
116,Chat Masala (Mix spices powder),5.3,0.0,17.5,0.0,,14.0,0.0,173.0
117,Dark chocolate peanut butter,38.8,13.24,31.34,17.4,,26.66,0.0,565.0
118,8.90E+12,,,,,,,0.0,
119,Namkeen - Haldiram's - 20,28.1,8.6,57.8,10.8,7.6,11.2,14.8,528.0
120,100066,71.7,16.6,8.97,0.0,,17.2,,758.0
121,Sowbhagya foods - 500GM,15.4,,22.8,0.0,0.9,4.1,0.34,4.0
122,Kuthu vilakku - wheat flour (atta),,75.0,,,12.0,,0.0,
123,Muscleblaze - 4kg,0.35,0.0,0.0,,0.0,46.67,0.0,0.0
124,Sainda namak - 200g,,,,,,,0.0,
125,Nan Khatai,4.5,1.0,11.0,4.0,,1.0,,89.0
126,Clear shampoo - 6 ml+ 15% extra =7 ml,,,,,,,0.0,
127,Dugra ghee - 910g,,,,,0.0,,0.0,
128,Yippee - 420gms,20.1,10.7,62.6,3.0,,9.0,,468.0
129,Pantene pro-v oil replacement - 80 ml,,,,,,,0.0,
130,Blueberries,0.0,0.0,82.667,43.333,,2.333,0.0,347.0
131,Yop!,1.3,1.0,12.4,11.0,,2.8,0.2,79.0
132,Omega 3,,,,,,0.0,,
133,Marie GOLD - Britannia - 300g,12.0,5.5,77.0,22.0,5.0,8.0,10.0,10.0
134,Amul,,,,,,,0.0,
135,Vadilal Gourmet Nutty Belgian Dark chocolate Super Premium Ice Cream,,,,,,,0.0,
