,name,nutri_fat,nutri_satuFat,nutri_carbohydrate,nutri_sugar,nutri_fiber,nutri_protein,nutri_salt,nutri_kcal
340,Naturamore - Naturamore nutraceutical - 350gm,2.38,0.1,50.0,,,40.0,0.3,357.0
341,die,,,,,,,0.0,
342,Ghiotti Fusilli - Ghotti - 500g,1.2,0.2,59.2,0.9,2.2,10.0,0.05,292.0
343,wafer cream rolls - tasty treat - 250g,14.0,12.0,70.0,43.0,,4.0,,422.0
344,Complan royale chocolate flavour - 500,,,,,,,,419.0
345,Amla Candy - Markfed Sohna - 500 g,0.06,,84.96,64.74,,0.27,,341.0
346,turmeric powder - Ramdev - 500 g,3.89,3.49,72.6,0.0,19.82,6.89,0.212,352.0
347,Maggi pazzta masala penne - Nestle - 65 g,2.4,1.2,68.3,5.2,4.3,11.6,3.115,82.0
348,Amul Belgian chocolate - 125g,21.7,53.8,41.2,,7.9,,0.0,
349,Greek yogurt wild raspberry,1.8,1.3,17.0,3.6,,6.7,0.44,110.0
350,tomato ketchup - 1kg,1.0,0.0,78.0,70.0,,0.0,1.0,10.0
351,5 star - Cadbury - 5rs,,,,,,,0.0,
352,Amberella chutney - mc curtie - 450 g,0.1,15.2,12.0,0.5,0.4,0.127,,
353,parle,,,,,,,0.0,
354,Del Monte - 250 g,0.13,0.0,82.9,73.7,7.5,0.38,0.012,338.0
355,Maggi Special Masala - 70 g,14.4,6.3,60.3,2.3,2.3,9.6,2.723,409.0
356,McVitie's Digestive,21.2,10.7,67.1,16.1,,7.3,0.0,489.0
357,patanjali Dant Kanti,,,,,,,0.0,
358,Lays Cream and Onion Patato Chips - Lay's - 45 gms,34.0,13.5,51.6,7.8,,,1.885,544.0
359,Modern Brown Bread - 300g,,,,,,,0.0,
360,Cadbury Choco Creme Oreo - 300 g,19.7,9.8,0.2,70.3,37.8,,5.5,480.0
361,Britannia Multi Grain Bread - 400 g,4.0,0.5,1.5,2.0,,47.0,1.5,260.0
362,6 g,0.2,,82.0,64.0,,2.5,,340.0
363,Tata Salt - 100g,0.0,0.0,0.0,0.0,0.0,0.0,98.298,0.0
364,food oil - freedom - 5000 ml,,,,,,,0.0,
365,Garlic 100 Veggie Chips - SnackWise - text,0.0,3.33,0.0,0.0,13.3,16.7,0.296,400.0
366,Handmade Chocolate Orange Honeycomb - Aldi - 250g,12.0,7.3,81.0,64.0,0.7,2.6,0.53,447.0
367,Dr. Oetker Funfoods -,,,,,,,2400000000000.0,
368,8.90E+12,2.0,1.0,1.0,1.0,,1.0,1.0,2.0
369,Garlic & Herbs Buttery Spread - Amul - 100g,77.3,0.0,0.0,0.0,0.0,0.5,0.0,697.0
370,Idiyappam - Adyar Annapoorna - 5,1.4,0.0,82.3,0.0,0.5,6.7,0.0,369.0
371,Haldiram's Lite Chiwda - 57 g,31.63,10.64,56.34,2.16,3.86,8.02,1.775,542.0
372,mini soya chunks(BARI) - 50gm,0.0,33.0,,13.0,52.0,,,
373,real litchi,,,,,,,1170000000000.0,
374,Tetley green tea ginger mint,,,,,,,0.0,
375,whole wheat bread - nutribee - 300g,,,,,,,0.0,
376,Aloo bhujia - Haldiram - 200 gm,38.12,16.5,46.1,0.25,0.83,8.68,1.562,562.0
377,Bagrry's - 500g,6.0,,,5.0,10.7,9.67,,403.0
378,cheese balls - time out - 55g,,89.1,46.32,,3.56,0.131,0.0,
379,Masala Oats - Peppy Tomato - Saffola - 39g,8.21,1.54,71.3,7.18,12.6,10.8,,402.0
380,Soya Chips - Haldiram's - 25 g,35.11,19.1,42.05,3.76,0.88,14.36,1.585,542.0
381,O'Choco - PARLITE FOODS,16.2,0.0,74.5,0.0,,6.5,0.0,470.0
382,Queso - picon,23.0,15.5,6.0,6.0,,10.0,0.65,268.0
383,Caramel - Hershey's - 623 g,0.17,0.1,70.2,55.3,,2.1,0.39,291.0
384,Patanjali Mango Drink - 500ml,0.0,0.0,15.1,,,0.65,0.005,63.0
385,Lune De Miel Honey100,,,0.0,0.0,,0.0,,0.0
386,"Ranch - Hidden Valley - 1,1.18L",,,,,,,0.0,
387,Nestle Nan,,,,,,0.0,,
388,Ghee - Nambisan's - 200 ml,908.0,570.0,,,,,0.0,1950.0
389,Hide And Seek - Parle - 33g,0.4,,103.0,,,5.9,,479.0
390,Hot Chocolate - Cadbury - 200g,,,,,,,0.0,
391,Garlic Paste - Mothers Recipie,,,,,,,0.0,
392,Puffcorn,34.5,16.0,56.2,1.0,,6.0,2.23,555.0
393,Eggee - Natural Farms - 5 pcs,10.7,,0.7,,,13.35,,152.0
394,Qamar Dates - 5KG,0.0,0.0,0.0,29.0,3.0,1.0,0.0,120.0
395,Ritter Sport Mini Mix 18er Beutel,34.0,18.0,53.0,50.0,,6.9,0.21,549.0
396,saffola masala oats - 39g,9.5,2.3,68.2,6.0,9.5,10.0,6.096,399.0
397,Marie biscuits - Bisk Farm - 300gram,13.01,6.2,4.74,2.06,0.0,,67.25,413.0
398,Dry Cake - Pran - 350 g,21.0,1.0,0.0,,60.0,25.0,0.4,420.0
399,Bestprice Udon - Topvalu - 71g,6.2,,1.8,,,50.8,,240.0
400,White peach mochi - K. Minamoto - 20g,,,,,,,0.0,
401,Maggi Atta noodle - Masala - 4 pack - 300g,14.6,7.4,60.6,2.8,6.0,12.0,1.1,422.0
402,Patanjali cream feast ( milk vanilla ) - 84 g,12.0,69.0,34.0,3.6,5.0,,0.0,
403,Ice cream stick (kulfi of pista malai flavour) - Amul - 1,27.7,13.5,0.0,29.5,22.5,,4.7,385.0
404,Tasti Smooshed Wholefood Balls - Berry Cashew & Cacao - 69g,12.2,4.5,62.4,48.4,8.5,7.0,0.022,390.0
405,OMG! Oh My Ganna Cumin Crush - Nutricane - 250 ml,0.0,0.0,9.14,9.14,,0.0,,48.0
406,Mcvities Butter Cookie 68 GR. - 68 g,18.2,8.0,6.2,1.8,68.9,24.9,,469.0
407,Roasted Dalia - Tip Top - 500 g,0.0,,78.0,,,10.0,,352.0
408,Heeng ki tikiya - Dilbahar - 100g,,,,,,,0.0,
409,Seedless Dates - Lion - 200 g,0.23,0.0,77.61,69.21,6.64,2.51,0.0,312.0
410,Poha Mota - Rajdhani - 500g,1.0,0.0,88.0,0.0,3.0,,0.03,390.0
411,Pizza topping - Dr. Oetker - 100g,9.9,2.3,23.0,21.3,,4.4,,198.0
412,Potato Cheese Shotz - Mc Cain - 400 g,11.3,6.97,0.0,24.26,4.65,0.0,8.09,231.0
413,Mini Cookie Cake - Pillsbury - 66 g,15.3,7.4,67.0,,,4.2,1.09,420.0
414,Lite Mixture - Haldiram's - 42g,28.0,15.0,50.0,2.0,,13.0,,504.0
415,Whoopies - Haldiram's - 45g,29.0,17.0,0.1,59.0,5.0,,4.0,513.0
416,Cavins butterscotch milkshake - Cavin’s - 180ml,4.0,,15.0,10.6,,3.2,,109.0
417,Dream LITE - Anmol - 200g,24.0,11.5,64.0,8.0,,7.7,,502.0
418,Mountain Dew - 1,0.0,0.0,12.3,12.3,0.0,0.0,0.041,49.0
419,Tandoori Chicken Masala - Everest,2.0,1.0,40.0,,,9.0,,214.0
420,Mixed Fruit - Minute Maid - 250 ml,0.0,,14.0,12.0,,0.0,,56.0
421,Mad Angles Chaat Masti - Bingo - 90 g,30.8,14.2,0.1,58.8,5.3,,7.3,130.0
422,Mad Angles Tomato Madness - Bingo - 90 g,31.9,14.5,0.1,55.4,5.3,,8.0,129.0
423,Bounce Choco Twist - Sunfeast - 82 g,15.9,7.8,0.1,74.3,36.9,,6.8,467.0
424,Manchow instant soup - Ching's - 15g,0.0,,10.8,,,0.6,2.977,47.0
425,Doritos Sweet Chilli Flavour - PepsiCo - 39 g,23.9,11.1,0.0,65.2,5.5,,6.3,501.0
426,West Indies' Hot 'n' Sweet Chilli - Frito-lay - 52g,33.0,13.0,0.1,54.7,6.0,,7.0,544.0
427,Bikaneri Bhujia - Kurkure - 18g,49.5,11.7,33.5,1.0,,11.8,2.596,627.0
428,Kesar Rasbari Barfi - Bikano - 1 kg,0.7,0.4,0.0,,46.4,46.4,,199.0
429,Perk - Cadbury - 14.3 g,25.8,23.4,0.2,67.6,45.9,1.8,3.6,517.0
430,Gulab Jamun - Gits - 100g,13.6,8.0,57.0,18.2,,17.0,0.0,420.0
431,Saffola Masala Oats - Classic Masala - 38 g,5.5,1.2,72.6,7.7,12.0,11.0,,383.0
432,Good Day Cashew Cookies Medium Pack - Britannia - 600 g,24.0,11.0,10.2,2.7,0.0,,65.0,504.0
433,Good Day Cashew Cookies - Britannia - 200 g,24.0,11.0,10.0,3.0,0.0,,65.0,504.0
434,GoodDay Choco Chip - Britannia - 100 g,21.0,7.5,9.7,3.7,0.0,,71.0,493.0
435,Sandwich Chocolate and Vanilla - Kwality Wall's - 57 g,7.89,3.51,0.018,48.1,24.0,0.877,5.44,282.0
436,bru coffee - 100,0.0,0.5,0.0,0.0,0.2,0.0,,
437,Cassatta - Kwality Wall's - 70 g,11.1,4.86,0.0,27.6,16.1,2.29,5.57,239.0
438,Chorizo Barbecue - Noel - 300 g,43.0,16.0,2.7,1.4,0.0,20.0,2.8,478.0
439,Caulier Tripel 33 CL Fles -,0.5,0.1,0.5,0.02,,0.01,0.01,1.0
440,Fromage d'Abbaye Belge -  - 150 g,25.0,15.0,0.5,0.0,,24.0,1.7,323.0
441,Hemp beer - Cannabia - 33 cl,,,,,,,,
442,Achards de légumes - Royal Bourbon - 200 g,9.4,1.0,17.62,1.65,,4.48,0.5,173.0
443,Roger Vidal,40.0,15.0,1.4,0.5,,13.0,1.8,416.0
444,Knacks x10 350g prix choc - Auchan - 350 g,25.0,10.0,0.9,0.9,0.5,12.0,1.8,275.0
445,saunf,,,,,,,0.0,
446,super muesli no added sugar - yogabar - 700g,21.6,4.0,54.9,1.8,15.1,17.4,0.15,425.0
447,cod liver oil capsules - sanofu - 110,,,,,,,0.0,
448,Good day cookies,7.4,10.6,68.0,21.4,,7.4,,507.0
449,Roasted Peanuts plain,57.9,0.0,12.2,0.0,,25.8,0.0,673.0
450,SUHANA MISAL MASALA,,,,,,,12500000000000.0,
451,Cow Ghee - Soul Flavor (Modicare) - 1 Kg,,0.0,0.0,,0.0,,0.0,
452,Coconut Oil - Fruit of the Earth - 500gm,,,,,,,0.0,
453,Biscute - good,,,,,,,0.0,
454,8.91E+12,,,,,,,0.0,
455,Ching's - 15g,1.0,0.0,72.0,16.0,,8.67,,331.0
456,Bournvita biscuit - Cadbury,15.3,6.8,73.6,30.0,,7.3,0.902,457.0
457,Mayi - 200,646.0,0.495,91.0,64.0,64.0,65.0,31.0,50.0
458,Dijon Mustard - Delouis Fils - 200g,16.0,1.0,2.0,2.0,,8.0,6.1,198.0
459,CORIANDER POWDER KitchenFeast - KitchenFeast The Superb Taste - 100g,,,,,,,0.0,
460,Dabur,,,,,,,37000000000000.0,
461,Amul,12.8,6.9,29.3,23.2,0.0,4.0,0.0,248.0
462,parachute coco oil - 50 cl,,,,,,,0.0,
463,parachute - coconut oil - 100ml,100.0,91.0,0.0,0.0,0.0,0.0,0.0,900.0
464,Real Mixed fruit juice,0.0,0.0,13.4,6.0,,0.2,0.0,53.0
465,Glucon-D - 1kg,,90.0,0.0,,0.0,,,
466,Torti surimi - Menu Fraîcheur,11.0,0.7,17.0,1.5,,4.2,0.93,186.0
467,Filet de panga surgelé - 1 kg,,,,,,,,0.0
468,Verka toned homogenized milk - 1 l,3.0,1.9,2.9,1.9,3.9,,4.8,58.0
469,Masala Cuppa Noodles - nestle - 70g,19.2,11.2,59.2,3.2,3.3,8.3,3.39,443.0
470,chilli powder - Ramdev - 500 g,19.33,2.86,51.14,6.89,31.07,14.12,1.002,435.0
471,Little hearts - Britannia,24.5,9.0,70.0,20.0,,7.0,0.0,488.0
472,multi millet chikki,,,,,,,0.0,
473,Mineral Water -,,,,,,0.004,0.0,
474,Rio Mango Alfonso flavour,0.0,0.0,14.7,14.7,,0.07,0.0,59.0
475,Bounty minis - Mars nederland - 427.5g,7.4,5.9,,14.1,,,0.07,140.0
476,Maaza -,6.0,0.0,13.5,13.0,,0.0,1.0,54.0
477,Knorr Manchow veg - 12 g,3.33,1.67,71.7,20.8,3.33,5.0,,333.0
478,manchurian rings - lite-n-fit - 80g,26.0,6.0,0.0,,60.0,2.0,3.0,498.0
479,Caillé de brebis,6.8,4.7,4.4,4.4,,5.4,0.2,101.0
480,Cinnamon Toast Crunch Cereal - General Mills,9.68,1.61,4.84,3.23,0.0,,80.65,419.0
481,Dairy milk,28.9,17.5,60.4,57.3,,8.1,0.156,534.0
482,Kissan Fresh Tomato Ketchup - 950gm,,,,,,,28000000000000.0,
483,Protinex Original - 250 g,,,,,,,0.0,
484,Frutti di Bosco Confettura extra 50 - Menz&Gasser,0.3,0.0,58.0,50.0,,0.5,0.1,242.0
485,poprings - balaji - 30g,22.8,,64.9,3.1,,6.6,,491.0
486,Haldiram's Moong Dal - haldirams - 18,20.93,,50.66,0.0,7.52,21.31,990.6,476.0
487,Chocos Moons & Stars - Kellogg's - 28.6g,3.0,1.3,83.9,30.0,3.5,8.6,0.4,390.0
488,Red bull energy drink - 350ml,2.0,4.0,11.0,10.0,3.0,2.0,5.0,7.0
489,maaza - Hisdustan Unilever Limited - 600 ml,13.5,0.0,13.0,10.0,,0.0,0.0,54.0
490,Hide & Seek Cashew Butter - Parle - 150g,24.0,,,66.6,21.0,,6.8,510.0
491,Dabur Chyawanprash - 575g,14.3,12.3,55.0,33.3,0.0,5.0,0.0,500.0
492,Honey - Dabur - 250g,0.0,0.0,80.0,80.0,0.0,0.0,0.043,320.0
493,Mélange de bonbons - Boni - 600 g,0.2,0.2,73.4,51.8,,5.8,0.05,319.0
494,Pura keto -,5.0,3.0,2.0,0.0,,9.0,,106.0
495,Peanut butter - Muscle blaze Bgreen,45.5,,12.0,,,38.0,,618.0
496,100 Moong and Edmame spaghetti - pink harvest farms - 200g,2.95,0.5,18.0,3.54,10.0,21.2,0.005,185.0
497,Natura RAMSONS -  - 100ml,,,,,,,0.0,
498,Unpolished Pulses (Mix Pulses) - Patanjali Ayurved Ltd. - 500g,,60.82,0.0,9.83,23.22,0.0,0.0,
499,FAREX - 1,,,,,,,0.0,
500,Dairy Milk Silk minis,31.1,19.0,58.5,55.5,,7.8,0.151,543.0
501,Hangyo Belgian Choclate Icecream,10.7,6.7,31.9,23.1,,4.8,0.0,243.0
502,Paper Boat,0.0,0.0,12.0,5.0,,0.0,0.0,48.0
503,Minute Maid Orange Juice,0.0,0.0,13.6,11.0,,0.0,0.0,54.0
504,Tropicana Apple Juice,0.0,0.0,11.5,0.0,,0.2,,47.0
505,Santra,0.0,0.0,13.4,8.74,,0.0,0.0,53.0
506,Misso,50.0,1.0,20.0,4.0,,2.0,0.0,100.0
507,Assam tea - strong & refreshing,,,,,,,,332.0
508,asparagus - annai aravindh - 50g,,,,,,,0.0,
509,Cold pressed Coconut oil - Soul flavours - 1 Litre,,,,,,,0.0,
510,mixed fruit granola - Fit and Flex - 25 g,,,,,,,13400000000000.0,
511,fresh,,,,,,,0.0,
512,aachi,,,,,,,0.0,
513,Tomato Ketchup - Maggi - 22,0.0,0.0,33.5,30.8,,1.2,2.565,139.0
514,Dried Cranberries - Healthfull - 200g,0.69,,82.33,71.42,,0.75,,338.0
515,Maggie Pazzta Chese Macaroni - Maggi,3.5,1.7,68.3,2.5,,11.5,1.347,351.0
516,Munch - Nestle - 12.5 g,22.8,21.6,54.4,29.7,2.8,5.7,47.498,438.0
517,epigamia spreads - DRUM Foods - 250 g,46.5,25.0,16.5,,35.0,30.5,,566.0
518,Coconut oil - Simply Nature - 414 ml,100.0,92.857,0.0,0.0,0.0,0.0,0.0,857.0
519,Fanta cocktail de fruits,0.0,0.0,13.0,13.0,,0.0,0.25,53.0
520,PACK 4X50CL LAIT CROISSANCE CANDIA,2.5,0.58,8.0,2.2,,2.6,,65.0
521,Amul - 500 g,70.0,35.0,,1.0,0.0,,0.0,634.0
522,Fun Foods Chocolate Spread Fudge - Dr.Oetker - 350 g,13.4,12.3,55.4,46.5,,5.2,,362.0
523,Quinoa chips,21.0,1.9,63.7,4.0,,6.8,1.9,480.0
524,catch chat masala,,,,,,,0.0,
525,Peanut Butter (beurre de cacahouète),50.3,10.1,20.3,7.7,,25.6,0.0,636.0
526,Britannia Nutrichoice Digestive - britannnia - 250g,10.0,8.5,2.5,68.0,14.5,6.0,8.0,
527,Bourbon - Britannia - 120g,20.0,10.0,7.7,2.2,0.0,72.0,37.5,488.0
528,Vedica - Bisleri - 1L,1.0,1.0,0.0,0.0,,0.0,0.0,0.0
529,KitKat - Nestle - 55g,25.7,23.0,63.8,48.7,2.6,8.0,,518.0
530,Shahi Pradhan Gold Special Mix Tea - 250 gm,0.829,,3.826,,,21.43,,108.0
531,Guava delight - Tropicana,0.0,0.0,14.4,13.5,,0.0,0.0,57.0
532,Chips banane épicées - Kwality market,34.64,,,2.0,6.4,3.6,,403.0
533,Maxirich - cipla - 30ml,,,,,,,0.0,
534,Glucose Biscuits - Sunfeast - 100 g,12.9,6.1,75.0,29.2,,8.3,,449.0
535,elaichi rusk - madhurima - 500g,,,,,,,0.0,
536,refined soya bean oil - fortune - 1 l,,,,,,,0.0,
537,Kingfisher ultra,0.0,,0.0,,,,,
538,Centerfresh Soft Chews,1.21,1.2,92.4,68.0,,0.06,0.0,380.0
539,Kamlesh - SENSODENT-K - 50g,,50.0,,,,,0.0,
540,Malasa Masti - 40 g,20.0,3.0,30.0,2.0,2.0,6.0,1.1,320.0
541,Haldiram's Bhujia - 460 g,40.8,10.4,39.5,3.9,5.0,20.0,,581.0
542,Pepsi - The Coca-Cola Company - 750ml,,,,,,,,43.0
543,Lotte Choco Pie,17.143,12.143,67.857,33.929,,3.929,0.536,439.0
544,Kissan Mix Fruit Jam - Kisaan - 500 g,0.0,0.0,71.0,65.0,0.0,0.5,0.0,285.0
545,11131861,,,,,,,0.0,
546,Roasted Crushed Peanuts - Haldiram's,25.5,6.0,55.0,10.5,,12.5,2.43,499.0
547,Moments - Ferrero Rocher,29.6,11.8,55.5,29.6,,7.8,0.0,520.0
548,Cornflour - Brown & polson - 100g,,0.0,91.3,0.0,0.9,0.3,0.023,
549,Sugar - Madhur - 5kg,,0.0,,99.4,,,0.0,
550,Khatta Meetha - Bikano - 1kg,,0.1,49.2,14.0,0.0,8.6,1.272,
551,Rusk Real Premium Elaichi - Parle - 400g,,55.3,25.1,,7.6,,0.0,
552,St. D'vence moisturizer winter edition - 300ml,,,,,,,0.0,
553,Sandwich bread - 100g,0.2,54.86,,,,,0.0,
554,Milder Rahmjoghurt Haselnuss,11.2,5.6,13.9,13.4,,3.1,,170.0
555,Golden corn,3.1,0.5,66.87,0.4,,16.1,0.0,359.0
556,Kellogg's Chocos - 12,2.9,1.2,83.6,30.0,5.0,9.0,0.825,387.0
557,a+ slim - Nestle - 1 l,0.2,,5.0,5.0,0.0,3.0,0.125,8.0
558,Cheese slices - Amul - 200g,,1.0,1.4,,,20.0,,
559,Marie light - 200g,5.8,76.6,,,8.5,,0.0,
560,Dairy milk milk chocolate - Mondelez,28.9,17.5,60.4,57.3,,8.1,0.156,534.0
561,Chilly Chow Cuppa Noodles - nestle - 70 g,18.571,11.0,57.143,2.857,2.7,8.571,3.321,428.0
562,act2 popcorn -,28.9,11.6,56.0,0.3,,9.0,0.0,521.0
563,Frooti Mango Drink - Parle Agro - 150ml,0.0,0.0,16.2,15.7,,0.0,0.0,65.0
564,Butter Cookies - Sapphire - 400 g,7.0,4.5,0.0,20.0,9.0,,2.0,100.0
565,bournvita - cadbury - 25,,,,,,,0.0,
566,Chocolate Flavoured Syrup - Hershey's - 623 g,0.56,0.5,66.6,63.6,0.0,1.27,0.0,276.0
567,Riz basmati - Alishaan Superba,0.5,0.1,78.0,,1.5,8.0,,349.0
568,Lait de soja non sucré,1.85,0.3,1.35,0.25,0.3,4.2,,38.0
569,Patal Poha Chivda (Indian snack) - Chitale - 200 g,15.4,7.2,0.007,0.001,0.0,66.9,5.2,437.0
570,Oats Original Unsweetened,1.05,0.15,7.25,4.2,0.65,1.15,0.111,43.0
571,Enerzal - 500g,,,,,,,,86.0
572,Corn Flakes - Kellogg's - 1.2 KG,,,,,,,0.0,
573,Nature power papaya soap - 125g,,,,,,,0.0,
574,Magix - Parle - 40.86 g,17.6,,,72.6,25.8,,7.0,477.0
575,formula 1 - Herbalife - 500g,,40.0,17.0,12.0,36.0,,0.0,
576,Vitamin D3 - Holland And Barrett - 100,,,,,,,0.0,
577,Hing (Asafoetida) - Catch - 50g,,71.58,2.2,,8.02,,0.0,
578,Bhujia - Haldiram - 400,40.0,11.429,42.857,2.857,4.3,11.429,2.0,571.0
579,Creme 4 Fun - Dukes - 150g,,74.8,30.6,,6.6,,0.0,
580,Cassonade Saint Louis,0.0,0.0,99.0,99.0,,0.0,0.0,396.0
581,50-50 sweet and salt - Britannia,,,,,,,0.0,
582,Fruitilicious Fruit Blast Mixed Fruit Jam - Apis - 450 g,0.05,0.0,73.0,71.63,0.71,0.32,0.058,293.0
583,Fruit salt lemon flavor - Eno - 5g,,,,,,,0.0,
584,FUNFOODS PEANUT BUTTER - Dr. Oetker,51.0,10.4,19.3,7.5,,26.3,0.0,641.0
585,Kellogg's Oats - 1 kg,9.0,1.7,67.8,0.0,10.0,11.6,7.0,379.0
586,Tropicana - 200ml,0.0,0.0,12.3,12.0,0.0,0.0,0.0,49.0
587,Nutella Cocoa Spread 290GM - Ferrero - 290 g,30.9,10.6,57.5,56.3,,6.3,0.0,533.0
588,Bolacha Manteiga Belgas - Chabrior,17.6,11.3,72.2,32.1,0.0,7.1,0.6,478.0
589,Excel - Polar Ice - 12,0.0,0.0,71.429,71.429,,0.0,0.0,178.0
590,veeba white pasta dressing - 285g,21.63,3.64,,11.96,4.85,,2.92,254.0
591,Appy - Parle Agro,0.0,0.0,15.8,15.8,0.0,0.0,0.042,63.0
592,Coca Cola,0.0,0.0,11.0,11.0,0.0,0.0,,44.0
593,Taka-tak - Haldiram's,34.06,14.44,55.2,1.5,0.0,5.99,1.369,551.0
594,Classic chips - Lay's,6.25,0.938,9.375,0.625,0.625,1.25,0.266,100.0
595,chocolate cranberry museli - yoga bar - 700g,,67.0,6.75,9.5,12.3,,,
596,7.18E+11,,,,,,,33330000000000.0,
597,Chickpeas Tyson - Katoomba,2.0,,51.0,8.0,,22.0,,345.0
598,Soya rich - 45ग्राम,,,,,,,0.0,
599,wheat khari - new poona bakery - 1,,,,,,,0.0,
600,Noodles,0.52,0.27,79.81,1.48,,11.92,0.0,371.0
601,Tavuk Salam -,20.0,7.0,4.0,0.2,,11.0,2.5,240.0
602,pediasure - 400gm,,0.06,77.5,12.0,0.0,11.0,0.686,
603,"Sunfeast Nice, 75 g",,,,,,,0.0,
604,drinking water - clear - 1l,,0.0,0.0,0.0,0.0,0.0,0.0,
605,8.90E+12,,,,,,,0.0,
606,Bavaria mango passion,0.0,,,,,,,
607,Taj Mahal tea leaves - Brooke Bond - 500 g,,,,,,,,
608,Sea salted whole cashews,46.429,8.929,28.571,7.143,,17.857,1.518,571.0
609,Haldirams Alu Bhujia - Haldiram's - 175 g,38.12,16.5,0.25,0.25,,8.68,6.15,562.0
610,Maaza - Coca-Cola,0.0,0.0,15.0,13.0,,0.0,,60.0
611,Chips - Pringles,7.0,3.5,62.8,0.4,,5.0,1.172,523.0
612,tarij - Pepsico,,,,,,,0.0,
613,Pringles Desi Masala Tadka Flavour - 107 g,28.3,12.6,0.3,61.2,1.5,,4.7,518.0
614,kurkure -,,,,,,,0.0,
615,The Real Vitamin - BIG MUSCLES NUTRITION - 30 caps,,,,,,,,
616,chocobar flavoured ice cream - Arun - 38g/58 ml,,0.171,34.2,34.2,0.0,5.26,,
617,"boondi from haldirams
haldirams boondi - Haldiram's",,,,,,,0.0,
618,Maida - Ganesh - 1 kg,,73.9,,,11.8,0.008,,
619,Yoga Bar Steel Cut Oats,7.4,1.3,65.1,0.0,,17.8,0.0,398.0
620,Roasted pumpkin kernels - Tong Garden - 200 g,,10.0,3.33,3.33,36.7,0.593,,
621,Patanjali Honey - 1kg,0.0,0.0,80.0,80.0,0.0,0.0,0.05,320.0
622,Hing Asafoetida - Catch - 100g,,71.58,2.2,,8.02,,0.0,
623,dairy milk silk - Cadbury - 250g.,,,,,,,0.0,
624,1 pound,,,,,,,6250000000000.0,
625,Hide and seek -bourbon,16.667,6.667,73.333,40.0,,6.667,0.25,466.0
626,Ching's Secret Manchurian noodles,3.0,1.5,15.3,0.0,,2.8,1.0,100.0
627,Special K original - Kellogg's - 900 g,1.0,0.3,85.3,25.0,,8.3,0.42,360.0
628,Soya Granules - Nutrela - 220 g,0.5,0.0,33.0,0.0,,52.0,0.0,345.0
629,Limca - Coca Cola - 2L,0.0,0.0,11.0,11.0,0.0,0.0,0.0,44.0
630,Lay’s Chile Limon - 55 g,34.615,15.385,50.0,3.846,,7.692,1.856,542.0
631,Cake,18.4,7.9,57.0,51.9,3.0,6.5,12.0,420.0
632,potazos - Britannia,,,,,,,0.0,
633,yoga bar 20g protein hazelnut,23.0,4.43,,34.6,23.7,13.0,29.7,464.0
634,Mango 100 juice,0.0,0.0,11.0,0.0,,0.0,0.0,44.0
635,Rose Lassi - Cavin's - 180 ml,2.06,1.39,0.056,,18.1,17.3,,99.0
636,KitKat,19.8,17.6,60.9,39.5,27.0,7.8,0.289,453.0
637,Apple Juice - Tropicana,0.0,0.0,22.9,0.0,,0.4,,94.0
638,Cashew Mandel Mix - chili - Snack Fun,51.5,6.7,21.0,5.1,,22.8,0.68,639.0
639,ON Gold Standard 100 Whey Protein - Optimum Nutrition - 2.27 kg,,12.0,9.0,,73.0,1.539,0.0,
640,Greek yogurt,2.4,1.5,8.8,5.6,,7.0,0.104,85.0
641,Gangotri Khakra Plain - 200 g,,57.5,0.5,7.2,13.8,0.86,0.0,
642,كرك - Herbal rea,2.1,,8.6,6.0,0.7,2.6,,63.0
643,Karak tea,13.333,,,,,,,42.0
644,Peanut Butter Creamy,53.333,0.0,13.333,0.0,,33.333,0.0,640.0
645,asitis - 500g,,0.0,0.0,0.0,27.0,0.0,,
646,Aachi lime pikle - 10 pieces,,,,,,,100000000000000.0,
647,Farali mixture - Badalia Foods - 25g,,46.0,4.0,4.0,7.0,4.0,,
648,Nouille masala - Nestle,15.7,6.8,63.5,1.2,,8.0,2.931,427.0
649,Monaco,21.0,9.9,68.4,7.8,,7.8,,494.0
650,Schezwan Chutney,6.667,2.0,18.667,3.333,,2.0,4.93,143.0
651,BRITANNIA - GOOD DAY - 38g,22.0,11.0,67.0,22.0,,7.0,,494.0
652,Allo Matar,8.0,0.8,11.0,0.3,,2.0,0.8,130.0
653,Khajoor Fard {date Crown} 500 GM - 500g,0.45,0.45,80.0,80.0,,3.0,0.1,364.0
654,Hard Candy - Coastal Bay confections - 85g,0.0,0.0,94.118,0.0,0.0,0.0,0.0,205.0
655,Amul Masti Buttermilk - 200,3.0,1.9,0.1,3.6,3.6,,3.0,57.0
656,Rava idli - MTR - 500 gm,8.0,3.0,63.0,1.5,,1.5,9.0,365.0
657,Exotic dark - Hershey's,13.7,8.0,80.5,64.7,,1.74,0.152,453.0
658,Munch - Nestlé,22.1,21.8,54.4,34.0,,6.3,,442.0
659,Thumbs up - Coca-Cola,0.0,0.0,9.7,0.0,0.0,0.0,,39.0
660,tomato discs - 60g,26.3,12.0,59.2,6.2,0.0,8.0,,505.0
661,CornFlakes Almond Honey - Kellogg's,8.7,4.0,81.9,30.0,1.8,6.2,1.075,80.0
662,Manna Oats - Steel Cut,10.0,2.0,67.0,2.0,14.0,11.0,,402.0
663,Organic almond,2.0,0.23,1.5,0.1,,1.05,,28.0
